商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
不明,不明,不明,3,注文について,4,注文のキャンセル,至急で注文をキャンセルし支払発生も止めたい,至急キャンセルと支払停止,キャンセル,なし,なし,低,注文履歴詳細,注文後,大至急;キャンセル;支払;発生しないよう,高,大至急キャンセルをお願いいたします。;お支払も発生しないようお願いいたします。,不明
不明,不明,不明,3,注文について,3,注文内容の変更,注文数量を4個から3個へ変更したい,数量を4個→3個へ変更,注文内容変更,なし,なし,中,注文履歴詳細,注文後,数量変更;4個;3個,中,数量変更4個から3個に変更お願い致します。,不明
手提げポリ袋ハード型 白（ストエキオリジナル）,不明,不明,2,ご相談について,2,販促什器について,手提げポリ袋ハード型のサンプル提供可否を確認したい,手提げポリ袋のサンプル依頼,サンプル依頼,なし,なし,中,商品ページ,注文前,手提げポリ袋ハード型;白;ストエキオリジナル;サンプル,低,手提げポリ袋ハード型 白（ストエキオリジナル）のサンプルは頂けないでしょうか。,無地レジ袋
不明,事務担当,不明,3,注文について,5,お客様都合による返品や交換,返品後の返金振込口座を再入力したい,返金口座の再入力依頼,返金口座登録/変更,返品後に振込口座の入力画面へ戻れず再入力できない,返品後に口座再入力ができない,低,不明,注文後,返品;振込口座;入力忘れ;再入力;三菱UFJ銀行;三鷹支店;当座;9002937;株式会社照明社,中,先程、返品しましたが、振込口座の入力を忘れました。再度、入力したいと思いましたが、もう入力できません。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷予定日（到着見込み）を確認したい,出荷時期・到着予定の確認,納期確認,なし,なし,中,注文履歴詳細,注文後,出荷;いつ頃;8日着指定;発注,中,こちらの出荷はいつ頃になりますでしょうか？;8日着指定での発注だったのですが,不明
不明,不明,不明,3,注文について,6,配送先の変更,複数注文の同梱発送を依頼したい,2件の注文を同梱希望,同梱/出荷手配,なし,なし,低,注文履歴一覧,注文後,同梱;発送;11/9深夜;本日注文;WEBオーダー番号;13721086;13721222,中,11/9深夜に注文いたしました商品と本日注文しました商品を同梱して発送していただくことは可能でしょうか？;難しければ別々で大丈夫です。,不明
不明,不明,不明,3,注文について,6,配送先の変更,送付先住所を訂正したい,送付先住所の訂正依頼,配送先変更,なし,なし,中,会員情報変更,注文後,送付先;訂正;東京都渋谷区神南1‐19‐3;日本生命アネックス1F;TOA渋谷店,中,こちらの送付先が間違っておりまして 下記に訂正をお願いいたします。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,相互リンク掲載の提案をしたい,相互リンク掲載の提案,相互リンク掲載依頼,なし,なし,低,不明,不明,相互リンク;SEO;オウンドメディア;リンク掲載;jo-katsu.com;malna.co.jp;classywig.jp;apart.familycorporation.co.jp;ドメインレーティング;DR;検索流入;内部最適化,低,相互リンクという形での連携をご提案させていただきたくご連絡差し上げました。;各メディアの記事内にて、相互にリンクを設置いただけますと幸いです。,不明
不明,事務担当,不明,8,帳票について,不明,不明,納品書をPDFデータで事前入手したい,納品書PDFの事前入手可否,帳票発行,納品書のPDF取得方法が分からない,納品書データ入手手段が不明,中,注文履歴詳細,帳票発行時,納品書;PDF;データ;ダウンロード;送付;現物,低,先んじてPDFなどのデータをダウンロードしたり、送っていただいたりすることはできるでしょうか。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,入金後の出荷を早めて翌日着にしてほしい,入金済みの翌日着出荷希望,納期確認,なし,なし,低,不明,注文後,入金;明日着;出荷,高,申し訳ございません、只今入金させていただきました。;何とか明日着での出荷は難しいでしょうか、、、,不明
不明,事務担当,不明,6,納期について,10,到着時間指定の希望（ご注文後）,注文済み商品の分納（配送先追加）と希望日までの最短納品を依頼したい,22ヶ所分納と最短納期依頼,配送先変更,なし,なし,低,不明,注文後,13721147;滋賀県;22ヶ所;分納;各1個;最短;希望日;11月12日,高,滋賀県22ヶ所に分納をお願いしたくご連絡しました。;納期につきまして、最短でのお手配をお願いしたいです。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,最速納品のため納期を確認したい,最速納品の納期確認依頼,納期確認,なし,なし,中,不明,注文後,最速;納品;納期,高,こちらの商品を最速で納品したく、 納期を教えていただきたいです。,不明
不明,事務担当,不明,3,注文について,2,入金確認,入金FAX送付後の出荷手配を依頼したい,入金FAX後の出荷依頼,入金確認,なし,なし,低,不明,注文後,入金FAX;本日出荷;明日着,高,只今入金FAXさせていただきました;本日出荷、明日着にて進行をお願いいたします,不明
不明,不明,不明,3,注文について,3,注文内容の変更,送料無料になる数量へ変更して本日出荷してほしい,送料無料数量へ増数希望,注文内容変更,なし,なし,中,注文履歴詳細,注文後,運賃無料;数量変更;増やしてください;本日出荷,高,同じ商品で運賃無料にな数量に変更お願いします、増やしてください。;本日出荷お願いします。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書（インボイス）の再発行を依頼したい,納品書の再発行可否確認,納品書再発行,納品書の再発行方法が分からない,納品書再発行の手順が不明,中,注文履歴詳細,帳票発行時,納品書;紛失;インボイス;再発行;オーダー番号;13703755;13702327,中,いずれも納品書を紛失してしまいました。;インボイスが必要なのですが再発行可能でしょうか？,不明
